Journal,Title,Link,Independent Variables,Dependent Variables,Metrics,Useful Search Terms,Potential Moderator Variables
Presence Journal,"“It Feels Right. Therefore, I Feel Present and Enjoy”: The Effects of Regulatory Fit and the Mediating Roles of Social Presence and Self-Presence in Avatar-Based 3D Virtual Environments",http://www.mitpressjournals.org/doi/pdf/10.1162/pres_a_00038,,,,,
Presence Journal,An Experiment on Public Speaking Anxiety in Response to Three Different Types of Virtual Audience,http://www.mitpressjournals.org/doi/pdf/10.1162/105474602317343668,"Immersion, attitude of virtual crowd",anxiety,,,
CyberPsych,Avatars and Emotional Engagement in Asynchronous Online Communication,http://online.liebertpub.com/doi/pdf/10.1089/cyber.2010.0083,,,,,
Presence Journal,Collaborative Task Performance for Learning Using a Virtual Environment,http://www.mitpressjournals.org/doi/pdf/10.1162/105474699566323,,,,,
CyberPsych,Cubes in the Cube: A Comparison of a Puzzle-Solving Task in a Virtual and a Real Environment,http://online.liebertpub.com/doi/pdfplus/10.1089/109493101300117956,,,,,
Presence Journal,"Effects of Communication Mode on Social Presence, Virtual Presence, and Performance in Collaborative Virtual Environments",http://www.mitpressjournals.org/doi/pdf/10.1162/105474605774785253,,,,,
CyberPsych,Empathy Toward Virtual Humans Depicting a Known or Unknown Person Expressing Pain,http://online.liebertpub.com/doi/pdf/10.1089/cyber.2012.1571,,,,,
Presence Journal,Equilibrium theory revisited: Mutual gaze and personal space in virtual environments,http://www.mitpressjournals.org/doi/pdf/10.1162/105474601753272844,(anthropomorhic agents vs. non-anthro) & (mutual gaze vs. non-mutual gaze) & (photographic realism),interpersonal distance,,,
Presence Journal,Exploring Agent Physicality and Social Presence for Medical Team Training,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00145,,,,,
Presence Journal,Gender Differences in the Impact of Presentational Factors in Human Character Animation on Decisions in Ethical Dilemmas,http://www.mitpressjournals.org/doi/pdf/10.1162/pres.19.3.213,,,,,
Presence Journal,Handshake: Realistic Human-Robot Interaction in Haptic Enhanced Virtual Reality,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00061,,,,,
Presence Journal,Judging Perceived and Traversed Distance in Virtual Environments,http://www.mitpressjournals.org/doi/pdf/10.1162/105474698565640,,,,,
Presence Journal,Leveraging Collaborative Virtual Environment Technology for Inter-Population Research on Persuasion in a Classroom Setting,http://www.mitpressjournals.org/doi/pdf/10.1162/pres.18.5.361,proximity to speaker,persuasion & memory,Likert-type scales & recall test,,
Presence Journal,Parasocial Interaction with an Avatar in Second Life: A Typology of the Self and an Empirical Test of the Mediating Role of Social Presence,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00001,Not sure about this one,,,,
Presence Journal,Presence in Shared Virtual Environments and Virtual Togetherness,http://www.mitpressjournals.org/doi/pdf/10.1162/105474600566736,,,,,
CyberPsych,Real Behavior in Virtual Environments: Psychology Experiments in a Simple Virtual-Reality Paradigm Using Video Games,http://online.liebertpub.com/doi/pdf/10.1089/cyber.2009.0310,,,,,
Presence Journal,Small Group Behavior in a Virtual and Real Environment: A Comparative Study,http://www.mitpressjournals.org/doi/abs/10.1162/105474600566600,,,,,
CyberPsych,Social Effects of an Anthropomorphic Help Agent: Humans versus Computers,http://online.liebertpub.com/doi/pdf/10.1089/cpb.2006.9930,,,,,
Presence Journal,Social Inhibition in Immersive Virtual Environments,http://www.mitpressjournals.org/doi/pdf/10.1162/105474603321640932,,,,,
Presence Journal,Spatial Presence and Emotions during Video Game Playing: Does It Matter with Whom You Play?,http://www.mitpressjournals.org/doi/pdf/10.1162/pres.15.4.381,,,,,
Presence Journal,"The Effect of Behavioral Realism and Form Realism of Real-Time Avatar Faces on Verbal Disclosure, Nonverbal Disclosure, Emotion Recognition, and Copresence in Dyadic Interaction",http://www.mitpressjournals.org/doi/pdf/10.1162/pres.15.4.359,,,,,
Presence Journal,"The Effect of the Agency and Anthropomorphism on Users' Sense of Telepresence, Copresence, and Social Presence in Virtual Environments",http://www.mitpressjournals.org/doi/pdf/10.1162/105474603322761289,,,,,
Presence Journal,"The independent and interactive effects of embodied-agent appearance and behavior on self-report, cognitive, and behavioral markers of copresence in immersive virtual environments",http://content.ebscohost.com/pdf17_20/pdf/2005/VTE/01Aug05/18609369.pdf?T=P&P=AN&K=18609369&S=R&D=aph&EbscoContent=dGJyMNLe80SeqLU4xNvgOLCmr0yep7dSsa24TLOWxWXS&ContentCustomer=dGJyMPGqsVGyrbdJuePfgeyx44Dt6fIA,behavioral realism of virtual agents,interpersonal distance,,parasocial interaction,
Presence Journal,The Influence of Intelligent Characters on Users' Navigation Through a Three-Dimensional Virtual Environment,http://www.mitpressjournals.org/doi/abs/10.1162/pres.19.3.253,,,,,
Presence Journal,The Networked Minds Measure of Social Presence: Pilot Test of the Factor Structure and Concurrent Validity ,http://www.soc.napier.ac.uk/~cs181/Modules/CM/Biocca.pdf,,,,,
Presence Journal,The Responses of People to Virtual Humans in an Immersive Virtual Environment,http://www.mitpressjournals.org/doi/pdf/10.1162/1054746053890242,,,,,
Presence Journal,"Under Pressure: Avatar Appearance and Cognitive Load Effects on Attitudes, Trustworthiness, Bidding, and Interpersonal Distance in a Virtual Store ",Forthcoming,,,,,
